Month Import,state,county,US Region,Probability of Initial Transmission,Infections (Median),Infections (25th Percentile),Infections (75th Percentile),Proportion Infected (Median),Proportion Infected (25th Percentile),Proportion Infected (75th Percentile),Infected in Pregnancy (Median),Infected in Pregnancy (25th Percentile),Infected in Pregnancy (75th Percentile)
1,Alabama,Autauga,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Autauga,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Autauga,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Autauga,SE,0.01,1,1,1,1.81E-05,1.81E-05,1.81E-05,0,0,0
5,Alabama,Autauga,SE,0.33,23,1,645,0.0004156,1.81E-05,0.01165,0,0,6
6,Alabama,Autauga,SE,0.61,277,4,1226,0.005005,7.23E-05,0.02215,2,0,9
7,Alabama,Autauga,SE,0.71,144,41.5,363,0.002602,0.0007498,0.006559,0,0,3
8,Alabama,Autauga,SE,0.7,26,7,49.75,0.0004698,0.0001265,0.0008989,0,0,0
9,Alabama,Autauga,SE,0.62,4,2,8,7.23E-05,3.61E-05,0.0001445,0,0,0
10,Alabama,Autauga,SE,0.1,1,1,1.75,1.81E-05,1.81E-05,3.16E-05,0,0,0
11,Alabama,Autauga,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Autauga,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Baldwin,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Baldwin,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Baldwin,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Baldwin,SE,0.05,3,1,1804,1.47E-05,4.91E-06,0.008856,0,0,20
5,Alabama,Baldwin,SE,0.33,15,2,3771,7.36E-05,9.82E-06,0.01851,0,0,30
6,Alabama,Baldwin,SE,0.63,5136,653.5,10480,0.02521,0.003208,0.05144,38,2.5,90
7,Alabama,Baldwin,SE,0.79,671,197.5,1819,0.003294,0.0009695,0.008929,6,0,16
8,Alabama,Baldwin,SE,0.78,99,43.75,227.5,0.000486,0.0002148,0.001117,0,0,3
9,Alabama,Baldwin,SE,0.67,10,3,20,4.91E-05,1.47E-05,9.82E-05,0,0,0
10,Alabama,Baldwin,SE,0.17,1,1,2,4.91E-06,4.91E-06,9.82E-06,0,0,0
11,Alabama,Baldwin,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Baldwin,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Barbour,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Barbour,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Barbour,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Barbour,SE,0.03,59,30,205,0.002227,0.001133,0.007739,0,0,2
5,Alabama,Barbour,SE,0.18,31,1.25,162.2,0.00117,4.72E-05,0.006125,0,0,2.25
6,Alabama,Barbour,SE,0.56,97,14,305,0.003662,0.0005285,0.01151,0,0,3
7,Alabama,Barbour,SE,0.74,44,4.25,118.8,0.001661,0.0001604,0.004483,0,0,0
